Rank,Country,Continent,Ladder Score,Happiness_Score
1,Finland,Europe,7.632,7632
2,Norway,Europe,7.594,7594
3,Denmark,Europe,7.555,7555
4,Iceland,Europe,7.495,7495
5,Switzerland,Europe,7.487,7487
6,Netherlands,Europe,7.441,7441
7,Canada,North America,7.328,7328
8,New Zealand,Australasia,7.324,7324
9,Sweden,Europe,7.314,7314
10,Australia,Australasia,7.272,7272
11,United Kingdom,Europe,7.19,7190
12,Austria,Europe,7.139,7139
13,Costa Rica,South America,7.072,7072
14,Ireland,Europe,6.977,6977
15,Germany,Europe,6.965,6965
16,Belgium,Europe,6.927,6927
17,Luxembourg,Europe,6.91,6910
18,United States of America,North America,6.886,6886
19,Israel,Africa,6.814,6814
20,United Arab Emirates,Africa,6.774,6774
21,Czechia,Europe,6.711,6711
22,Malta,Europe,6.627,6627
23,France,Europe,6.489,6489
24,Mexico,South America,6.488,6488
25,Chile,South America,6.476,6476
26,Taiwan,Asia,6.441,6441
27,Panama,South America,6.43,6430
28,Brazil,South America,6.419,6419
29,Argentina,South America,6.388,6388
30,Guatemala,South America,6.382,6382
31,Uruguay,South America,6.379,6379
33,Saudi Arabia,Africa,6.371,6371
34,Singapore,Asia,6.343,6343
35,Malaysia,Asia,6.322,6322
36,Spain,Europe,6.31,6310
37,Colombia,South America,6.26,6260
39,Slovakia,Europe,6.173,6173
40,El Salvador,South America,6.167,6167
41,Nicaragua,South America,6.141,6141
42,Poland,Europe,6.123,6123
43,Bahrain,Africa,6.105,6105
44,Uzbekistan,Aia,6.096,6096
45,Kuwait,Africa,6.083,6083
46,Thailand,Asia,6.072,6072
47,Italy,Europe               ,6,6000
48,Ecuador,South America,5.973,5973
50,Lithuania,Europe,5.952,5952
51,Slovenia,Europe,5.948,5948
52,Romania,Europe,5.945,5945
53,Latvia,Europe,5.933,5933
54,Japan,Asia,5.915,5915
55,Mauritius,Africa,5.891,5891
56,Jamaica,South America,5.89,5890
57,South Korea,Asia,5.875,5875
58,N. Cyprus,Europe,5.835,5835
59,Russia,Europe,5.81,5810
60,Kazakhstan,Asia,5.79,5790
61,Cyprus,Europe,5.762,5762
62,Bolivia,South America,5.752,5752
63,Estonia,Europe,5.739,5739
64,Paraguay,South America,5.681,5681
65,Peru,South America,5.663,5663
66,Kosovo,Europe,5.662,5662
67,Moldova,Europe,5.64,5640
68,Turkmenistan,Asia,5.636,5636
69,Hungary,Europe,5.62,5620
70,Libya,Africa,5.566,5566
71,Philippines,Asia,5.524,5524
72,Honduras,South America,5.504,5504
73,Belarus,Europe,5.483,5483
74,Turkey,Africa,5.483,5483
75,Pakistan,Asia,5.472,5472
76,Hong Kong,Asia,5.43,5430
77,Portugal,Europe,5.41,5410
78,Serbia,Europe,5.398,5398
79,Greece,Europe,5.358,5358
80,Lebanon,Africa,5.358,5358
81,Montenegro,Europe,5.347,5347
82,Croatia,Europe,5.321,5321
83,Dominican Rep.,South America,5.302,5302
84,Algeria,Africa,5.295,5295
85,Morocco,Africa,5.254,5254
86,China,Asia,5.246,5246
87,Azerbaijan,Europe,5.201,5201
88,Tajikistan,Asia,5.199,5199
89,Macedonia,Europe,5.185,5185
90,Jordan,Africa,5.161,5161
91,Nigeria,Africa,5.155,5155
92,Kyrgyzstan,Asia,5.131,5131
93,Bosnia and Herzegovina,Europe,5.129,5129
94,Mongolia,Asia,5.125,5125
95,Vietnam,Asia,5.103,5103
96,Indonesia,Asia,5.093,5093
99,Cameroon,Africa,4.975,4975
100,Bulgaria,Europe,4.933,4933
101,Nepal,Asia,4.88,4880
102,Venezuela,South America,4.806,4806
103,Gabon,Africa,4.758,4758
104,Palestine,Africa,4.743,4743
105,South Africa,Africa,4.724,4724
106,Iran,Africa,4.707,4707
107,Côte d'Ivoire,Africa,4.671,4671
108,Ghana,Africa,4.657,4657
109,Senegal,Africa,4.631,4631
110,Laos,Asia,4.623,4623
111,Tunisia,Africa,4.592,4592
112,Albania,Europe,4.586,4586
113,Sierra Leone,Africa,4.571,4571
114,Congo,Africa,4.559,4559
115,Bangladesh,Asia,4.5,4500
116,Sri Lanka,Asia,4.471,4471
117,Iraq,Africa,4.456,4456
118,Mali,Africa,4.447,4447
119,Namibia,Africa,4.441,4441
120,Cambodia,Asia,4.433,4433
121,Burkina Faso,Africa,4.424,4424
122,Egypt,Africa,4.419,4419
123,Mozambique,Africa,4.417,4417
124,Kenya,Africa,4.41,4410
125,Zambia,Africa,4.377,4377
126,Mauritania,Africa,4.356,4356
127,Ethiopia,Africa,4.35,4350
128,Georgia,Europe,4.34,4340
129,Armenia,Asia,4.321,4321
130,Myanmar,Asia,4.308,4308
131,Chad,Africa,4.301,4301
133,India,Asia,4.19,4190
134,Niger,Africa,4.166,4166
135,Uganda,Africa,4.161,4161
136,Benin,Africa,4.141,4141
137,Sudan,Africa,4.139,4139
138,Ukraine,Europe,4.103,4103
139,Togo,Africa,3.999,3999
140,Guinea,Africa,3.964,3964
141,Lesotho,Africa,3.808,3808
143,Madagascar,Africa,3.774,3774
144,Zimbabwe,Africa,3.692,3692
145,Afghanistan,Asia,3.632,3632
146,Botswana,Africa,3.59,3590
147,Malawi,Africa,3.587,3587
148,Haiti,South America,3.582,3582
149,Liberia,Africa,3.495,3495
151,Rwanda,Africa,3.408,3408
152,Yemen,Africa,3.355,3355
153,Tanzania,Africa,3.303,3303
154,S. Sudan,Africa,3.254,3254
155,Central African Rep.,Africa,3.083,3083
156,Burundi,Africa,2.905,2905
