Rank,Country,Continent,Happiness_Score,Dystopia,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_to_Make_Life_Choices,Generosity,Perceptions_of_Corruption
1,Finland,Europe,7821,2518,1892,1258,775,736,109,534
2,Denmark,Europe,7636,2226,1953,1243,777,719,188,532
3,Iceland,Europe,7557,2320,1936,1320,803,718,270,191
4,Switzerland,Europe,7512,2153,2026,1226,822,677,147,461
5,Netherlands,Europe,7415,2137,1945,1206,787,651,271,419
6,Luxembourg,Europe,7404,2042,2209,1155,790,700,120,388
7,Sweden,Europe,7384,2003,1920,1204,803,724,218,512
8,Norway,Europe,7365,1925,1997,1239,786,728,217,474
9,Israel,Africa,7364,2634,1826,1221,818,568,155,143
10,New Zealand,Australasia,7200,1954,1852,1235,752,680,245,483
11,Austria,Europe,7163,2148,1931,1165,774,623,193,329
12,Australia,Australasia,7162,2011,1900,1203,772,676,258,341
13,Ireland,Europe,7041,1743,2129,1166,779,627,190,408
14,Germany,Europe,7034,2142,1924,1088,776,585,163,358
15,Canada,North America,7025,1924,1886,1188,783,659,217,368
16,United States of America,North America,6977,2214,1982,1182,628,574,220,177
17,United Kingdom,Europe,6943,1967,1867,1143,750,597,289,329
18,Czechia,Europe,6920,2263,1815,1260,715,660,158,48
19,Belgium,Europe,6805,2283,1907,1106,764,492,49,204
20,France,Europe,6687,1895,1863,1219,808,567,70,266
21,Bahrain,Africa,6647,2092,1854,1029,625,693,199,155
22,Slovenia,Europe,6630,1885,1810,1249,769,685,118,115
23,Costa Rica,South America,6582,2346,1584,1054,744,661,89,102
24,United Arab Emirates,Africa,6576,1809,1998,980,633,702,204,250
25,Saudi Arabia,Africa,6523,2075,1870,1092,577,651,78,180
26,Taiwan,Asia,6512,2002,1897,1095,733,542,75,168
27,Singapore,Asia,6480,932,2149,1127,851,672,163,587
28,Romania,Europe,6477,2446,1719,1006,655,605,39,6
29,Spain,Europe,6476,1893,1808,1211,808,505,101,149
30,Uruguay,South America,6474,1974,1615,1180,672,665,103,265
31,Italy,Europe,6467,2222,1834,1052,801,412,85,59
32,Kosovo,Europe,6455,2631,1362,949,569,599,309,35
33,Malta,Europe,6447,1631,1838,1169,789,679,174,166
34,Lithuania,Europe,6446,2153,1804,1204,659,496,53,77
35,Slovakia,Europe,6391,2094,1736,1232,707,479,118,25
36,Estonia,Europe,6341,1442,1793,1232,728,689,123,333
37,Panama,South America,6309,2086,1715,1107,709,592,49,51
38,Brazil,South America,6293,2361,1462,1044,615,546,131,134
39,Guatemala,South America,6262,2746,1274,831,522,662,112,115
40,Kazakhstan,Asia,6234,1860,1668,1220,611,584,134,157
41,Cyprus,Europe,6221,2044,1815,909,819,448,123,62
42,Latvia,Europe,6180,1923,1732,1221,637,502,75,90
43,Serbia,Europe,6178,2031,1550,1086,658,546,219,88
44,Chile,South America,6172,2040,1651,1080,748,460,124,69
45,Nicaragua,South America,6165,2418,1105,1029,617,617,168,212
46,Mexico,South America,6128,2239,1552,886,623,621,92,155
47,Croatia,Europe,6125,1884,1705,1183,709,535,109,0
48,Poland,Europe,6123,1693,1758,1174,712,523,124,140
49,El Salvador,South America,6120,2514,1265,768,607,666,89,212
50,Kuwait,Africa,6106,1621,1904,983,747,617,87,147
51,Hungary,Europe,6086,1812,1748,1233,668,485,78,64
52,Mauritius,Africa,6071,1969,1591,1116,568,589,131,107
53,Uzbekistan,Asia,6063,1913,1219,1092,600,716,283,240
54,Japan,Asia,6039,1487,1835,1089,866,537,7,218
55,Honduras,South America,6022,2611,1111,885,555,582,202,76
56,Portugal,Europe,6016,1691,1760,1078,777,655,16,39
57,Argentina,South America,5967,1891,1592,1102,662,555,81,85
58,Greece,Europe,5948,2119,1703,980,774,249,15,108
59,South Korea,Asia,5935,1656,1851,886,841,414,111,176
60,Philippines,Asia,5904,2283,1268,912,514,678,107,142
61,Thailand,Asia,5891,1600,1535,1096,697,617,321,26
62,Moldova,Europe,5857,2142,1417,1008,597,561,102,28
63,Jamaica,South America,5850,2164,1296,1045,646,567,80,53
64,Kyrgyzstan,Asia,5828,2087,1069,1109,638,693,208,25
65,Belarus,Europe,5821,1811,1562,1157,629,342,40,282
66,Colombia,South America,5781,1971,1452,929,720,545,87,77
67,Bosnia and Herzegovina,Europe,5768,1869,1468,1068,665,448,244,6
68,Mongolia,Asia,5761,1999,1393,1197,467,398,247,59
69,Dominican Rep.,South America,5737,1751,1538,1003,577,606,84,179
70,Malaysia,Asia,5711,1471,1689,938,620,654,213,126
71,Bolivia,South America,5600,2107,1256,880,555,627,112,64
72,China,Asia,5585,1516,1508,958,705,656,99,142
73,Paraguay,South America,5578,1555,1409,1130,624,629,171,59
74,Peru,South America,5559,1890,1397,865,735,545,90,37
75,Montenegro,Europe,5547,1619,1573,1023,659,460,135,77
76,Ecuador,South America,5533,1866,1352,879,708,565,80,83
77,Vietnam,Asia,5485,1735,1252,932,611,707,143,105
78,Turkmenistan,Asia,5474,1160,1484,1319,516,649,314,32
79,N. Cyprus,Europe,5467,1078,1815,888,819,523,130,213
80,Russia,Europe,5459,1494,1685,1095,586,401,117,80
81,Hong Kong,Asia,5425,642,1957,954,942,400,147,383
82,Armenia,Asia,5399,1654,1434,820,668,558,54,210
83,Tajikistan,Asia,5377,1895,966,1005,518,572,118,304
84,Nepal,Asia,5377,2224,984,784,499,519,237,130
85,Bulgaria,Europe,5371,1235,1625,1163,640,563,123,21
86,Libya,Africa,5330,1544,1476,943,606,477,106,179
87,Indonesia,Asia,5240,1300,1382,883,539,620,468,47
88,Côte d'Ivoire,Africa,5235,2652,1094,442,322,451,149,124
89,North Macedonia,Europe,5199,1461,1505,863,637,488,215,31
90,Albania,Europe,5199,1718,1439,646,719,511,138,28
91,South Africa,Africa,5194,1742,1425,1088,361,442,89,46
92,Azerbaijan,Europe,5173,1098,1458,1093,560,601,23,341
93,Gambia,Africa,5164,2531,785,621,369,367,388,103
94,Bangladesh,Asia,5155,1967,1060,614,581,622,125,187
95,Laos,Asia,5140,1709,1239,654,479,679,197,184
96,Algeria,Africa,5122,1744,1363,970,643,146,106,150
97,Liberia,Africa,5122,2844,636,670,309,405,178,80
98,Ukraine,Europe,5084,1331,1411,1081,583,473,188,17
99,Dem. Rep. Congo,Africa,5075,2658,950,405,355,431,130,146
100,Morocco,Africa,5060,2405,1208,268,565,492,20,102
101,Mozambique,Africa,5048,2641,578,660,191,593,185,200
102,Cameroon,Africa,5048,2469,968,672,317,397,152,74
103,Senegal,Africa,5046,2419,933,530,447,494,143,81
104,Niger,Africa,5003,2667,570,560,326,571,165,145
105,S. Geo. and the Is.,Europe,4973,1583,1467,612,595,508,0,208
106,Gabon,Africa,4958,1892,1459,737,396,343,32,99
107,Iraq,Africa,4941,1894,1289,682,554,328,147,46
108,Venezuela,South America,4925,2790,0,968,578,283,225,82
109,Papua New Guinea,Australasia,4891,2538,848,566,275,334,214,116
110,Iran,Africa,4888,1427,1410,741,642,281,241,146
111,Ghana,Africa,4872,1972,1112,595,409,500,230,56
112,Turkey,Africa,4744,1059,1707,865,702,209,87,115
113,Burkina Faso,Africa,4670,2313,779,565,320,382,186,126
114,Cambodia,Asia,4640,1410,1019,732,505,740,166,68
115,Benin,Africa,4623,2458,932,64,335,479,127,230
116,Comoros,Africa,4609,2304,899,476,424,185,195,125
117,Uganda,Africa,4603,1842,777,875,418,402,222,66
118,Nigeria,Africa,4552,1784,1079,732,300,444,175,38
119,Kenya,Africa,4543,1661,1032,605,401,440,322,82
120,Tunisia,Africa,4516,1540,1350,596,656,316,29,29
121,Pakistan,Asia,4516,1940,1049,413,374,448,181,112
122,Palestine,Africa,4483,1368,1148,957,521,336,73,79
123,Mali,Africa,4479,2373,792,483,311,350,128,42
124,Namibia,Africa,4459,1414,1292,877,354,384,67,71
125,eSwatini,Africa,4396,1688,1274,786,197,259,38,154
126,Myanmar,Asia,4394,877,1038,829,491,513,452,194
127,Sri Lanka,Asia,4362,595,1415,934,660,529,150,79
128,Madagascar,Africa,4339,2148,670,645,378,202,143,154
129,Egypt,Africa,4288,856,1388,732,548,469,41,254
130,Chad,Africa,4251,2419,662,506,225,180,182,77
131,Ethiopia,Africa,4241,1375,788,809,457,472,205,136
132,Yemen,Africa,4197,1561,691,1043,384,330,90,98
133,Mauritania,Africa,4153,1207,1100,865,450,304,88,138
134,Jordan,Africa,4152,695,1324,724,675,476,58,200
135,Togo,Africa,4112,2061,771,322,360,292,174,132
136,India,Asia,3777,795,1167,376,471,647,198,123
137,Zambia,Africa,3760,1135,930,577,306,525,203,83
138,Malawi,Africa,3750,1661,648,279,388,477,140,157
139,Tanzania,Africa,3702,735,848,597,425,578,248,270
140,Sierra Leone,Africa,3574,1556,686,416,273,387,202,55
141,Lesotho,Africa,3512,1312,839,848,0,419,76,18
